question,A,B,C,D,correct,topics,difficulty,source
If the price of a normal good falls, the income effect will tend to __ consumption.,increase,decrease,not change,make income fall,A,Demand|Consumer Theory,2,original
Which best describes opportunity cost?,The cost of the next best alternative forgone,The monetary price of a good,The time spent on production,A sunk cost,A,Choice|Opportunity Cost,1,original
A movement along a demand curve is caused by:,A change in price,A change in income,A change in preferences,A change in technology,A,Demand,1,original
In perfect competition, firms are:,Price takers,Price makers,Able to set output where AR>MR,Protected by high barriers,A,Market Structures|Perfect Competition,2,original
Price elasticity of demand (PED) is defined as:,% change in Qd / % change in price,% change in price / % change in Qd,% change in Qs / % change in price,% change in income / % change in price,A,Elasticity|PED,2,original
If PED = -2, a 10% price cut changes quantity demanded by:,20% increase,5% decrease,2% increase,No change,A,Elasticity|PED,2,original
Cross elasticity of demand (XED) between two goods is positive. They are likely:,Substitutes,Complements,Inferior goods,Unrelated,A,Elasticity|XED,2,original
A public good is typically:,Non-rival and non-excludable,Rival and excludable,Rival and non-excludable,Non-rival and excludable,A,Public Goods|Government,3,original
Negative externalities of production lead to:,Overproduction and welfare loss,Underproduction and no DWL,Allocative efficiency,Socially optimal output,A,Externalities|Market Failure,3,original
A merit good is one that:,Has positive externalities when consumed,Is always provided by government,Has negative externalities,Is a demerit good,A,Merit Goods|Government,2,original
Average cost equals:,Total cost / output,Fixed cost / output,Variable cost * price,Marginal cost / output,A,Costs|Production,1,original
When marginal cost is below average cost, average cost is:,Falling,Rising,Constant,Undefined,A,Costs|Production,2,original
Economies of scale arise when:,Long-run average costs fall as output increases,Short-run costs fall with fixed input,Marginal cost rises,Firms face diseconomies,A,Costs|Scale,3,original
A natural monopoly is most likely when:,There are significant economies of scale over the relevant output range,There are many small firms,Products are differentiated,Entry barriers are low,A,Market Structures|Monopoly,3,original
A fall in interest rates is most likely to:,Increase investment and AD,Reduce investment and AD,Only shift SRAS,Have no effect on spending,A,Macro|Monetary Policy|AD,2,original
A budget deficit occurs when:,Government spending exceeds tax revenue,Tax revenue exceeds spending,Public debt falls,Exports exceed imports,A,Macro|Fiscal Policy,1,original
Quantitative easing primarily aims to:,Lower long-term interest rates and stimulate lending,Raise the exchange rate,Cut government spending,Increase reserve requirements,A,Macro|Monetary Policy,3,original
If the pound appreciates, UK net exports are likely to:,Fall,Rise,Stay the same,Become positive,A,Macro|Exchange Rate|Trade,2,original
The Phillips curve suggests a short-run trade-off between:,Inflation and unemployment,Growth and inequality,Inflation and output gap,Interest rates and money supply,A,Macro|Inflation|Labour,3,original
A negative output gap occurs when:,Actual GDP < potential GDP,Actual GDP > potential GDP,Inflation > target,Unemployment < natural rate,A,Macro|Output Gap,2,original
A progressive tax system is one where the average tax rate:,Rises as income rises,Falls as income rises,Is constant across incomes,Is negative,A,Taxation|Distribution,2,original
Which of the following is part of M1 narrow money?,Cash and demand deposits,Government bonds,Time deposits only,Corporate equities,A,Money|Monetary Policy,3,original
Real wage unemployment can result from:,Wages set above market-clearing level,Excess demand for labour,Falling productivity,An expansionary monetary policy,A,Labour Market|Unemployment,3,original
